Team,PlayOffs,latitude,longitude,zip,Top,Bottom,Left ,Right
Titans,2,36.166461,-86.771289,37213,37.666461,34.666461,-88.271289,-85.271289
Giants,2,40.812194,-74.076983,10021,42.312194,39.312194,-75.576983,-72.576983
Steelers,2,40.446786,-80.015761,15202,41.946786,38.946786,-81.515761,-78.515761
Panthers,2,35.225808,-80.852861,28202,36.725808,33.725808,-82.352861,-79.352861
Ravens,1,39.277969,-76.622767,21203,40.777969,37.777969,-78.122767,-75.122767
Buccaneers,2,27.975967,-82.50335,33607,29.475967,26.475967,-84.00335,-81.00335
Colts,1,39.760056,-86.163806,46201,41.260056,38.260056,-87.663806,-84.663806
Vikings,2,44.973881,-93.258094,56760,46.473881,43.473881,-94.758094,-91.758094
Cardinals,2,33.5277,-112.262608,63102,35.0277,32.0277,-113.762608,-110.762608
Cowboys,1,32.747778,-97.092778,75203,34.247778,31.247778,-98.592778,-95.592778
Falcons,2,33.757614,-84.400972,30303,35.257614,32.257614,-85.900972,-82.900972
Jets,2,40.812194,-74.076983,10001,42.312194,39.312194,-75.576983,-72.576983
Broncos,2,39.743936,-105.020097,28037,41.243936,38.243936,-106.520097,-103.520097
Dolphins,2,25.957919,-80.238842,33102,27.457919,24.457919,-81.738842,-78.738842
Eagles,1,39.900775,-75.167453,19092,41.400775,38.400775,-76.667453,-73.667453
Bears,1,41.862306,-87.616672,60602,43.362306,40.362306,-89.116672,-86.116672
Patriots,1,42.090925,-71.26435,58647,43.590925,40.590925,-72.76435,-69.76435
Redskins,2,38.907697,-76.864517,20575,40.407697,37.407697,-78.364517,-75.364517
Packers,2,44.501306,-88.062167,54301,46.001306,43.001306,-89.562167,-86.562167
Chargers,1,32.783117,-117.119525,92103,34.283117,31.283117,-118.619525,-115.619525
Saints,1,29.950931,-90.081364,70112,31.450931,28.450931,-91.581364,-88.581364
Texans,1,29.684781,-95.410956,77002,31.184781,28.184781,-96.910956,-93.910956
Bills,2,42.773739,-78.786978,14202,44.273739,41.273739,-80.286978,-77.286978
Forty-Niners,2,37.713486,-122.386256,94102,39.213486,36.213486,-123.886256,-120.886256
Jaguars,2,30.323925,-81.637356,32099,31.823925,28.823925,-83.137356,-80.137356
Browns,2,41.506022,-81.699564,44114,43.006022,40.006022,-83.199564,-80.199564
Raiders,2,37.751411,-122.200889,94502,39.251411,36.251411,-123.700889,-120.700889
Chiefs,1,39.048914,-94.484039,66027,40.548914,37.548914,-95.984039,-92.984039
Rams,1,38.632975,-90.188547,63101,40.132975,37.132975,-91.688547,-88.688547
Seahawks,1,47.595153,-122.331625,98102,49.095153,46.095153,-123.831625,-120.831625
Bengals,2,39.095442,-84.516039,45202,40.595442,37.595442,-86.016039,-83.016039
Lions,2,42.340156,-83.045808,48205,43.840156,40.840156,-84.545808,-81.545808
