Player,DKP Player Average,DKS Player Average,DKP/DKS Player Average,PlayOff 
"Abdullah, Ameer",0.49,3030,0.000161716,2
"Adams, Davante",22.97333333,7853.333333,0.002925297,2
"Adams, Josh",6.376923077,3484.615385,0.001830022,1
"Agholor, Nelson",10.525,4675,0.002251337,1
"Aiken, Kamar",2.26,2500,0.000904,1
"Ajayi, Jay",11.1,5600,0.001982143,1
"Akins, Jordan",2.46875,2518.75,0.000980149,1
"Alie-Cox, Mo",3.588888889,1666.666667,0.002153333,1
"Allen, Brandon",0,4000,0,1
"Allen, Dwayne",0.438461538,2630.769231,0.000166667,1
"Allen, Javorius",6.757142857,3992.857143,0.001692308,1
"Allen, Josh",19.005,5075,0.003744828,2
"Allen, Keenan",16.88125,7475,0.002258361,1
"Allen, Kyle",13.27,2000,0.006635,2
"Allison, Geronimo",12.46,4380,0.002844749,2
"Amendola, Danny",8.494666667,4106.666667,0.002068506,2
"Anderson, C.J.",7.34,3500,0.002097143,1
"Anderson, Derek",6.25,4350,0.001436782,2
"Anderson, Robby",11.74285714,4414.285714,0.002660194,2
"Andrews, Mark",6.7,2693.75,0.002487239,1
Arizona,6.5625,2393.75,0.002741514,2
"Armah, Alex",0.9375,3000,0.0003125,2
"Arnold, Dan",3.666666667,2500,0.001466667,1
"Artis-Payne, Cameron",1.933333333,3000,0.000644444,2
"Ateman, Marcell",5.2,3371.428571,0.001542373,2
Atlanta,5.0625,2350,0.002154255,2
"Auclair, Antony",0.7375,2500,0.000295,2
"Austin, Tavon",5.642857143,3428.571429,0.001645833,1
"Baldwin, Doug",11.13846154,5400,0.002062678,1
"Ballage, Kalen",3.475,3258.333333,0.001066496,2
Baltimore,8.25,2806.25,0.002939866,1
"Barber, Peyton",9.64375,3693.75,0.002610829,2
"Barkley, Matt",17.08,4000,0.00427,2
"Barkley, Saquon",25.425,8231.25,0.003088838,2
"Barner, Kenjon",0.933333333,2500,0.000373333,1
"Batson, Cameron",1.811111111,3000,0.000603704,2
"Beasley, Cole",9.575,3887.5,0.002463023,1
"Beathard, C.J.",14.66333333,4766.666667,0.003076224,2
"Beckham Jr., Odell",20.52833333,8075,0.002542208,2
"Beebe, Chad",2.633333333,2033.333333,0.001295082,2
"Bell, Blake",1.633333333,2500,0.000653333,2
"Bellamy, Josh",2.10625,3031.25,0.000694845,1
"Bellore, Nick",0.458333333,3000,0.000152778,2
"Benjamin, Kelvin",4.6,3666.666667,0.001254545,1
"Benjamin, Travis",3.391666667,3275,0.001035623,1
"Bernard, Giovani",7.991666667,4408.333333,0.001812854,2
"Bibbs, Kapri",5.618181818,3027.272727,0.001855856,2
"Blount, LeGarrette",5.46875,3706.25,0.001475548,2
"Blue, Alfred",6.08125,3787.5,0.001605611,1
"Bohanon, Tommy",0.63125,3012.5,0.000209544,2
"Bolden, Brandon",1.9,3043.75,0.00062423,2
"Bolden, Victor",0.4,3000,0.000133333,2
"Booker, Devontae",5.55,3631.25,0.001528399,2
"Boone, Mike",0.85,3000,0.000283333,2
"Bortles, Blake",15.40461538,5123.076923,0.003006907,2
"Bourne, Kendrick",7.16875,3387.5,0.002116236,2
"Boyd, Tyler",16.43571429,5578.571429,0.002946223,2
"Boyle, Nick",2.76875,2518.75,0.001099256,1
"Bradford, Sam",6.233333333,4833.333333,0.001289655,2
"Brady, Tom",19.33125,6325,0.003056324,1
"Brate, Cameron",5.86875,3162.5,0.001855731,2
"Braunecker, Ben",0.48,2500,0.000192,1
"Brees, Drew",21.932,6406.666667,0.003423309,1
"Breida, Matt",12.32142857,5192.857143,0.002372765,2
"Bridgewater, Teddy",1.644,4660,0.00035279,1
"Brissett, Jacoby",-0.155,4475,-3.46369E-05,1
"Brown, Antonio",22.58,8560,0.00263785,2
"Brown, Daniel",0,2500,0,1
"Brown, Jaron",3.7875,3218.75,0.001176699,1
"Brown, John",9.36875,4968.75,0.001885535,1
"Brown, Malcolm",3.283333333,4066.666667,0.000807377,1
